geo_entity_name,fishing_entity_name,eez_name,fao_area_name,declaration_year,started_eez_at,date_allowed_to_fish_other_eezs,date_allowed_to_fish_high_seas,area,shelf_area,ifa,percentage_of_worlds_coral_reefs,percentage_of_worlds_sea_mounts,ppr
Mexico,Mexico,Mexico (Pacific),"Pacific, Eastern Central",1976,1976,1950,1950,2444238.104,183245.9271,170969.5,0.115753,1.251,559.84
Mexico,Mexico,Mexico (Atlantic),"Atlantic, Western Central",1976,1976,1950,1950,829311.1844,235489.5865,142490.69,0.616647,0.061,396.97
Morocco,Morocco,Morocco (Central),Mediterranean and Black Sea,1981,1980,1972,9999,193.85,0,0.00103957,0,0,0.584518422
Morocco,Morocco,Morocco (Central),"Atlantic, Eastern Central",1981,1980,1972,9999,257630.1318,55897.75485,50788.55224,0,0.013,591.7847203
Morocco,Morocco,Morocco (South),"Atlantic, Eastern Central",1981,1980,1972,9999,300942.0875,63849.01824,43380.77959,0,0.007,1405.05
Morocco,Morocco,Morocco (Mediterranean),Mediterranean and Black Sea,1981,1980,1972,9999,18301.55128,4933.146396,4553.98677,0,0,652.23
Mozambique,Mozambique,Mozambique,"Indian Ocean, Western",1976,1976,1984,1984,571451.8385,85276.09317,68599.14782,0.508656,0.013,617.56
Oman,Oman,Oman,"Indian Ocean, Western",1981,1980,9999,9999,529559.4189,47853.8212,43783.14291,0.119854,0.094,1327.04
Oman,Oman,Oman (Musandam),"Indian Ocean, Western",1981,1980,9999,9999,6678.435933,6678.246268,6678.246268,0.021315,0,1460.51
Namibia,Namibia,Namibia,"Atlantic, Southeast",1977,1990,1987,1987,560100.9084,94930.27428,66241.39332,0,0.027,1541.85
Nauru,Nauru,Nauru,"Pacific, Western Central",1978,1978,1987,1987,308505.6325,13.42019411,13.42019411,0.008636,0.054,421.54
Bonaire (Netherlands),Bonaire (Netherlands),Bonaire (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,13217.78806,268.4850638,268.4850638,0.053311,0,433.14
Sint Maarten (Netherlands),Sint Maarten,Sint Maarten (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,499.2051465,152.7716052,152.7706687,0.008743,0,336.67
Saba and Saint Eustaius (Netherlands),Saba and Saint Eustaius (Netherlands),Saba and Sint Eustaius (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,11648.33495,169.4654381,169.4654379,0.012932,0.007,372.15
Aruba (Netherlands),Aruba (Netherlands),Aruba (Netherlands),"Atlantic, Western Central",1993,1977,9999,9999,25198.87151,1503.263531,1503.263531,0.007249,0,423.65
Netherlands,Netherlands,Netherlands,"Atlantic, Northeast",1977,1977,1950,1950,61868.94966,61856.09438,21628.83231,0,0,1502.9
Vanuatu,Vanuatu,Vanuatu,"Pacific, Southwest",1982,1978,1980,1980,24184.05652,0,0,0,0,9.569874542
Vanuatu,Vanuatu,Vanuatu,"Pacific, Western Central",1982,1978,1980,1980,803442.1026,8681.038074,8233.478761,0.778556,0.316,284.7197756
Kermadec Isl. (New Zealand),New Zealand,Kermadec Isl. (New Zealand),"Pacific, Southwest",1978,1978,1950,1950,621764.2033,347.7804887,347.7804887,0,0.363,281.69
Tokelau (New Zealand),Tokelau (New Zealand),Tokelau (New Zealand),"Pacific, Eastern Central",1980,1977,1983,1983,295083.1427,279.0352704,279.0352704,0.078745,0.255,208.3300193
Tokelau (New Zealand),Tokelau (New Zealand),Tokelau (New Zealand),"Pacific, Western Central",1980,1977,1983,1983,23965.82636,0,0,0,0,16.13801841
Niue (New Zealand),Niue (New Zealand),Niue (New Zealand),"Pacific, Eastern Central",1978,1978,9999,1970,316584.3872,283.8240246,70.02769651,0.048505,0.108,159
New Zealand,New Zealand,New Zealand,"Pacific, Southwest",1978,1978,1950,1950,3479751.837,272270.7826,196576.7296,0,0.766,492.99
Cook Islands,Cook Islands,Cook Islands,"Pacific, Southwest",1977,1977,1987,1987,5880.392396,0,0,0,0,0.497456374
Cook Islands,Cook Islands,Cook Islands,"Pacific, Eastern Central",1977,1977,1987,1987,1954146.486,1213.244606,1213.244605,0.367551,0.894,197.6552185
Nicaragua,Nicaragua,Nicaragua (Pacific),"Pacific, Eastern Central",1965,1965,9999,1950,61512.90691,21921.95136,15570.73508,0.001264,0.007,636.83
Nicaragua,Nicaragua,Nicaragua (Caribbean),"Atlantic, Western Central",1965,1965,9999,1950,161240.83,61293.27997,38189.3942,0.255161,0.027,334.87
Nigeria,Nigeria,Nigeria,"Atlantic, Eastern Central",1978,1978,1977,1977,216324.8112,43513.97918,36472.44521,0,0,834.69
Jan Mayen Isl. (Norway),Norway,Jan Mayen Isl. (Norway),"Atlantic, Northeast",1980,1977,1950,1950,292189.1894,1580.062263,1519.603846,0,0.134,575.1
Svalbard Isl. (Norway),Norway,Svalbard Isl. (Norway),"Atlantic, Northeast",1977,1977,1950,1950,804906.5304,255221.7628,110202.4341,0,0.04,426.67
Bouvet Isl. (Norway),Norway,Bouvet Isl. (Norway),"Atlantic, Antarctic",1977,1977,1950,1950,441173.6167,212.6928734,0,0,0.343,273.03
Norway,Norway,Norway,"Atlantic, Northeast",1977,1977,1950,1950,935397.1144,211376.5638,112711.61,0,0,598.09
Micronesia,Micronesia,Micronesia (Federated States of),"Pacific, Western Central",1988,1988,1987,1987,2992414.636,26075.62745,16586.99017,1.542716,2.165,242.44
Marshall Isl.,Marshall Isl.,Marshall Isl.,"Pacific, Western Central",1984,1984,1996,1996,1992022.415,20890.80943,20560.90674,2.442429,1.647,224.63
Palau,Palau,Palau,"Pacific, Western Central",1978,1985,9999,1970,604252.9842,3467.228059,2989.511132,0.362216,0.867,250.85
Pakistan,Pakistan,Pakistan,"Indian Ocean, Western",1976,1976,9999,1970,222255.2572,50210.0254,33476.21307,0,0.034,1563.01
Panama,Panama,Panama (Pacific),"Pacific, Eastern Central",1967,1967,1950,1950,188619.3593,40712.2534,40712.2534,0.04523,0.094,719.16
Panama,Panama,Panama (Caribbean),"Atlantic, Western Central",1967,1967,1950,1950,142164.2976,11464.17618,11326.80617,0.169599,0,514.69
Papua New Guinea,Papua New Guinea,Papua New Guinea,"Pacific, Western Central",1978,1978,9999,9999,2396575.334,186818.6142,146250.29,4.740871,1.163,364.49
Peru,Peru,Peru,"Pacific, Southeast",1950,1947,1960,1960,856954.6784,88554.63281,71056.96583,0,0.094,1014.1
Philippines,Philippines,Philippines,"Pacific, Western Central",1979,1979,1950,1950,2162501.457,270747.6223,249167.5242,9.472467,0.316,331.2315277
Philippines,Philippines,Philippines,"Pacific, Northwest",1979,1979,1950,1950,101314.9898,680.1625339,583.0681078,0.002588,0.134,11.09900827
Poland,Poland,Poland,"Atlantic, Northeast",1977,1977,1929,1929,32057.94028,32054.04125,20243.0278,0,0,1701.43
Madeira Isl. (Portugal),Madeira Isl. (Portugal),Madeira Isl. (Portugal),"Atlantic, Eastern Central",1977,1977,1950,1950,439161.2701,1137.309319,1032.739733,0,0.114,300.598995
Madeira Isl. (Portugal),Madeira Isl. (Portugal),Madeira Isl. (Portugal),"Atlantic, Northeast",1977,1977,1950,1950,15297.65548,0,0,0,0.013,10.46662906
Azores Isl. (Portugal),Azores Isl. (Portugal),Azores Isl. (Portugal),"Atlantic, Eastern Central",1977,1977,1950,1950,162232.4021,0,0,0,0.027,54.68387794
Azores Isl. (Portugal),Azores Isl. (Portugal),Azores Isl. (Portugal),"Atlantic, Northeast",1977,1977,1950,1950,793411.2599,2165.836118,2071.161102,0,0.363,341.6676621
Portugal,Portugal,Portugal (mainland),"Atlantic, Eastern Central",1977,1977,1950,1950,45204.2693,0,0,0,0.013,50.5394541
Portugal,Portugal,Portugal (mainland),"Atlantic, Northeast",1977,1977,1950,1950,266443.8051,24605.54972,23806.85209,0,0.141,472.7964033
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,"Atlantic, Eastern Central",1978,1978,1979,1979,105839.1569,38155.24997,24590.29514,0,0.02,1043.68
Timor Leste,Timor Leste,Timor Leste,"Pacific, Western Central",2002,2002,9999,9999,84.06371911,0,0,0,0,0.601975475
Timor Leste,Timor Leste,Timor Leste,"Indian Ocean, Eastern",2002,2002,9999,9999,76967.2441,25987.61698,2862.066839,0.152404,0,579.9166144
Qatar,Qatar,Qatar,"Indian Ocean, Western",1974,1974,9999,9999,31819.0175,31817.74167,24274.28903,0.185622,0,1180.11
Romania,Romania,Romania,Mediterranean and Black Sea,1986,1986,1950,1950,29756.1397,23283.1555,10789.64815,0,0,1266.53
Russian Federation,Russian Federation,Russia (Black Sea),Mediterranean and Black Sea,1977,1977,1950,1950,67350.67006,19828.46211,18905.59006,0,0,1050.88
Russian Federation,Russian Federation,Russia (Kara Sea),"Atlantic, Northeast",1977,1977,1950,1950,3.583367565,0,589.4474076,0,0,0
Russian Federation,Russian Federation,Russia (Kara Sea),Arctic Sea,1977,1977,1950,1950,1058125.257,800639.6907,164043.35,0,0.007,338.0288553
Russian Federation,Russian Federation,Russia (Barents Sea),"Atlantic, Northeast",1977,1977,1950,1950,1199008.166,606133.1199,280509.47,0,0,393.3599221
Russian Federation,Russian Federation,Russia (Barents Sea),Arctic Sea,1977,1977,1950,1950,0.237402193,0,16.60827784,0,0,0
Russian Federation,Russian Federation,Russia (Far East),"Pacific, Northeast",1977,1977,1950,1950,34565.40339,34547.3065,23726.09706,0,0,6.982970955
Russian Federation,Russian Federation,Russia (Far East),"Pacific, Northwest",1977,1977,1950,1950,3412584.395,932890.3804,599839.824,0,0.309,708.6818989
Russian Federation,Russian Federation,Russia (Laptev to Chukchi Sea),Arctic Sea,1977,1977,1950,1950,2088075.403,1709179.727,260076.55,0,0,257.99
Russian Federation,Russian Federation,Russia (Baltic Sea),"Atlantic, Northeast",1977,1977,1950,1950,23240.7879,23241.39717,19869.58659,0,0,2329.02
Saint Kitts & Nevis,Saint Kitts & Nevis,Saint Kitts & Nevis,"Atlantic, Western Central",1984,1984,1958,9999,10208.69005,855.0721647,633.9244335,0.03305,0,358.56
Saint Lucia,Saint Lucia,Saint Lucia,"Atlantic, Western Central",1984,1984,9999,9999,15472.25083,593.0149459,593.0149462,0.024508,0,427.41
Saint Vincent & the Grenadines,Saint Vincent & the Grenadines,Saint Vincent & the Grenadines,"Atlantic, Western Central",1983,1983,1950,1950,36303.8134,2339.966316,2222.636152,0.034544,0.034,561.91
Sao Tome & Principe,Sao Tome & Principe,Sao Tome & Principe,"Atlantic, Eastern Central",1978,1978,1975,9999,165345.3999,1970.510408,1970.510408,0.034073,0.02,687.37
Saudi Arabia,Saudi Arabia,Saudi Arabia (Red Sea),"Indian Ocean, Western",2011,9999,1950,1950,186391.6537,69755.79248,69755.79248,1.531554,0,725.24
Saudi Arabia,Saudi Arabia,Saudi Arabia (Persian Gulf),"Indian Ocean, Western",2011,9999,1950,1950,33792.49507,33790.52729,26565.13266,0.052,0,1137.28
Senegal,Senegal,Senegal,"Atlantic, Eastern Central",1976,1976,1950,1950,157708.5258,23892.88272,18411.90533,0.01111,0.007,1393.03
Seychelles,Seychelles,Seychelles,"Indian Ocean, Western",1977,1977,1990,1990,1331964.482,54832.53668,31750.0189,0.459053,0.693,357.03
Sierra Leone,Sierra Leone,Sierra Leone,"Atlantic, Eastern Central",1971,1971,1977,1977,159299.8113,26610.70355,18301.45249,0.031887,0,651.22
Singapore,Singapore,Singapore,"Pacific, Western Central",2008,2008,9999,1970,673.3363315,674.4806413,674.4806413,0.011818,0,1931.71
Viet Nam,Viet Nam,Viet Nam,"Pacific, Western Central",1977,1977,1950,9999,1068405.639,301791.1871,107486.6527,1.97843,0.027,296.7742294
Viet Nam,Viet Nam,Viet Nam,"Pacific, Northwest",1977,1977,1950,9999,326690.4046,129720.1514,68735.88545,0.321642,0,122.2346842
Slovenia,Slovenia,Slovenia,Mediterranean and Black Sea,2005,2005,9999,9999,191.9123141,191.9127916,191.9123132,0,0,341.15
Somalia,Somalia,Somalia,"Indian Ocean, Western",1972,1971,9999,9999,831058.734,50878.08784,50065.16835,0.1964,0.067,848.52
Prince Edward Isl. (South Africa),South Africa,Prince Edward Isl. (South Africa),"Indian Ocean, Antarctic",1977,1977,1950,1950,382182.3963,2093.00056,0,0,0.282,286.606141
Prince Edward Isl. (South Africa),South Africa,Prince Edward Isl. (South Africa),"Indian Ocean, Western",1977,1977,1950,1950,91188.23135,11.09521444,0,0,0.054,78.5685251
South Africa,South Africa,South Africa (Indian Ocean Coast),"Indian Ocean, Western",1977,1977,1950,1950,318168.6374,9287.548998,9287.548998,0.01746,0.007,283.2180081
South Africa,South Africa,South Africa (Indian Ocean Coast),"Atlantic, Southeast",1977,1977,1950,1950,373175.0409,86738.40896,44628.96588,0,0.101,459.5652033
South Africa,South Africa,South Africa (Atlantic and Cape),"Atlantic, Southeast",1977,1977,1950,1950,374596.6048,64165.70064,41533.45846,0,0.061,1156.44
Canary Isl. (Spain),Spain,Canary Isl. (Spain),"Atlantic, Eastern Central",1978,1978,1950,1950,455328,6366.486905,5957.222276,0,0.168,380.55
Balearic Islands (Spain),Spain,Balearic Islands (Spain),Mediterranean and Black Sea,1978,1978,1950,1950,128053.0537,11182.43075,11039.62962,0,0,411.77
Spain,Spain,Spain (Northwest),"Atlantic, Northeast",1978,1978,1950,1950,289299.4218,22943.84215,22899.99193,0,0.094,607.4
Spain,Spain,"Spain (mainland, Med and Gulf of Cadiz)",Mediterranean and Black Sea,1978,1978,1950,1950,132748.2216,29590.84792,28976.26305,0,0.02,494.6553014
Spain,Spain,"Spain (mainland, Med and Gulf of Cadiz)","Atlantic, Eastern Central",1978,1978,1950,1950,2294.582599,234.2915368,234.2915368,0,0,7.856860836
Spain,Spain,"Spain (mainland, Med and Gulf of Cadiz)","Atlantic, Northeast",1978,1978,1950,1950,13116.20263,7489.629975,7474.629975,0,0,106.9372514
Sudan,Sudan,Sudan,"Indian Ocean, Western",1970,9999,9999,9999,92513.22195,23354.01198,23248.4129,0.845147,0,713.67
Suriname,Suriname,Suriname,"Atlantic, Western Central",1978,1978,1950,9999,127816.5257,53738.3095,18421.96806,0,0,867.52
Sweden,Sweden,Sweden (West Coast),"Atlantic, Northeast",1978,1978,1950,1950,14468.15529,12787.98315,12777.05387,0,0,1692.28
Sweden,Sweden,Sweden (Baltic),"Atlantic, Northeast",1978,1978,1950,1950,142457.9604,141867.6288,114177.97,0,0,1779.63
Syrian Arab Republic,Syrian Arab Republic,Syria,Mediterranean and Black Sea,2003,2003,9999,1970,10188.84062,960.1007923,960.1007923,0,0,350.12
Thailand,Thailand,Thailand (Gulf of Thailand),"Pacific, Western Central",1981,1980,1970,1970,187064.3939,186974.1197,87774.05938,0.254733,0,759.36
Thailand,Thailand,Thailand (Andaman Sea),"Indian Ocean, Eastern",1981,1980,1970,1970,118714.1003,51406.37594,42579.17113,0.229637,0,668.36
Togo,Togo,Togo,"Atlantic, Eastern Central",1977,1977,1965,1965,15441.69883,1166.753454,1166.751505,0,0,744.88
Tonga,Tonga,Tonga,"Pacific, Southwest",1979,1979,9999,1970,22070.04088,0,0,0,0.007,8.911002353
Tonga,Tonga,Tonga,"Pacific, Eastern Central",1979,1979,9999,1970,362067.2423,6485.180309,6208.485961,0.305819,0.235,108.9821892
Tonga,Tonga,Tonga,"Pacific, Western Central",1979,1979,9999,1970,280613.8568,2102.820601,1551.51775,0.184238,0.249,99.9697023
Trinidad & Tobago,Trinidad & Tobago,Trinidad & Tobago,"Atlantic, Western Central",1983,1984,1960,1960,79798,23236.24758,18716.51384,0.013261,0,1088.19
United Arab Emirates,United Arab Emirates,United Arab Emirates (Fujairah),"Indian Ocean, Western",1980,1980,9999,1970,4370.549128,3558.482601,3375.738582,0,0,1196.34
United Arab Emirates,United Arab Emirates,United Arab Emirates,"Indian Ocean, Western",1980,1980,9999,1970,52455.1009,52454.882,51330.15572,0.36179,0,1066.46
Tunisia,Tunisia,Tunisia,Mediterranean and Black Sea,2005,2005,1984,1984,102047.0789,68499.1756,44652.71248,0,0.007,476.13
Turkey,Turkey,Turkey (Mediterranean Sea),Mediterranean and Black Sea,1982,9999,1950,9999,72194.71014,26000.86255,26000.86255,0,0.013,426.42
Turkey,Turkey,Turkey (Marmara Sea),Mediterranean and Black Sea,1982,9999,1950,9999,11653.08878,7369.306163,7369.306163,0,0,1188.56
Turkey,Turkey,Turkey (Black Sea),Mediterranean and Black Sea,1986,9999,1950,9999,172484.4286,18898.61521,18898.61521,0,0,906.53
Tuvalu,Tuvalu,Tuvalu,"Pacific, Western Central",1979,1979,1981,9999,751671.5611,4449.15689,1414.053835,0.346905,0.524,215.76
Ukraine,Ukraine,Ukraine,Mediterranean and Black Sea,1977,1977,1950,1950,132413.7756,73847.09268,59011.44981,0,0,972.96
Egypt,Egypt,Egypt (Red Sea),"Indian Ocean, Western",1983,1982,1950,1950,91279.27206,23180.21151,23180.21151,1.246518,0,540.61
Egypt,Egypt,Egypt (Mediterranean),Mediterranean and Black Sea,1983,1982,1950,1950,169124.5027,31016.88553,29158.15318,0,0,336.9
South Orkney Islands (UK),United Kingdom,South Orkney Islands (UK),"Atlantic, Antarctic",1982,9999,1950,1950,380022.8943,4865,0,0,0.188,331.2055265
South Orkney Islands (UK),United Kingdom,South Orkney Islands (UK),"Atlantic, Southwest",1982,9999,1950,1950,10251.35214,0,0,0,0,8.633978489
Ascension Isl. (UK),Ascension Isl. (UK),Ascension Isl. (UK),"Atlantic, Southeast",1978,1992,1950,1950,373325.1163,123.1629042,114.7453241,0,0.161,249.4262761
Ascension Isl. (UK),Ascension Isl. (UK),Ascension Isl. (UK),"Atlantic, Eastern Central",1978,1992,1950,1950,68316.57352,0,0,0,0,64.81263386
South Georgia & Sandwich Isl. (UK),United Kingdom,South Georgia & Sandwich Isl. (UK),"Atlantic, Antarctic",1993,1977,1950,1950,1203154.529,21579.15,21579.15,0,0.484,379.92
Tristan da Cunha Isl. (UK),Tristan da Cunha Isl. (UK),Tristan da Cunha Isl. (UK),"Atlantic, Southeast",1977,1992,1950,1950,754681.5635,1644.542983,392.4856558,0,0.397,451.19
Channel Isl. (UK),Channel Isl. (UK),Channel Isl. (UK),"Atlantic, Northeast",1977,1977,1977,1977,11646.85862,11646.86311,10828.2525,0,0,1147.62
United Kingdom,United Kingdom,United Kingdom (UK),"Atlantic, Northeast",1977,1977,1950,1950,756638.8532,538220.669,271151.9363,0,0.027,850.45
Turks & Caicos Isl. (UK),Turks & Caicos Isl. (UK),Turks & Caicos Isl. (UK),"Atlantic, Western Central",1978,1977,9999,1970,153532.8427,5559.812573,5559.812573,1.628344,0.101,222.2
Anguilla (UK),Anguilla (UK),Anguilla (UK),"Atlantic, Western Central",1981,1977,9999,9999,92177.79261,2119.793466,2030.504731,0.005942,0.027,228.21
Saint Helena (UK),Saint Helena (UK),Saint Helena (UK),"Atlantic, Southeast",1977,1977,1950,1950,444897.9875,985.1262519,195.8678967,0,0.141,253.2
Pitcairn (UK),Pitcairn (UK),Pitcairn (UK),"Pacific, Southwest",1997,1977,9999,9999,365330.7083,28.70448362,28.70448362,0,0.067,51.85223474
Pitcairn (UK),Pitcairn (UK),Pitcairn (UK),"Pacific, Eastern Central",1997,1977,9999,9999,470772.0242,126.1562035,0,0.015811,0.215,73.69266973
Montserrat (UK),Montserrat (UK),Montserrat (UK),"Atlantic, Western Central",1983,1977,9999,9999,7586.077572,167.6814004,167.6814004,0,0,354.36
Falkland Isl. (UK),Falkland Isl. (UK),Falkland Isl. (UK),"Atlantic, Southwest",1986,1977,9999,1950,549974.1846,165342.5526,50838.93974,0,0.027,900.14
Cayman Isl. (UK),Cayman Isl. (UK),Cayman Isl. (UK),"Atlantic, Western Central",1977,1977,9999,1970,119134,506.0345982,506.0345983,0.04734,0.255,285.88
Virgin Isl. (UK),British Virgin Isl. (UK),British Virgin Isl. (UK),"Atlantic, Western Central",1977,1977,1950,9999,80111.34926,3092.816502,3085.434743,0.079065,0.007,231.96
"Chagos Archipel., Brit. Ind. Oc. Terr. (UK)",Brit. Indian Ocean Terr. (UK),Chagos Archipelago (UK),"Indian Ocean, Western",2003,1977,9999,9999,638555.4985,21653.98133,12131.26921,1.721485,0.188,303.33
Bermuda (UK),Bermuda (UK),Bermuda (UK),"Atlantic, Western Central",1977,1977,1970,1970,425835.6998,1139.701518,996.4180267,0.107147,0.094,287.2362684
Bermuda (UK),Bermuda (UK),Bermuda (UK),"Atlantic, Northwest",1977,1977,1970,1970,24511.71368,0,0,0,0.007,19.55940939
Tanzania,Tanzania,Tanzania,"Indian Ocean, Western",1989,1989,9999,1970,241129.1974,18986.75749,18986.75749,0.872476,0,530.15
Palmyra Isl. & Kingman Reef (USA),USA,Palmyra Atoll & Kingman Reef (USA),"Pacific, Eastern Central",1983,1977,1950,1950,352525.9566,153.2998823,91.53375616,0.035213,0.444,309.74
Alaska (USA),USA,"USA (Alaska, Subarctic)","Pacific, Northeast",1983,1977,1950,1950,2258519.064,994480.2658,470399.0204,0,0.424,358.1460844
Alaska (USA),USA,"USA (Alaska, Subarctic)","Pacific, Northwest",1983,1977,1950,1950,933774.724,92788.35401,27475.48705,0,0.04,294.0534665
Alaska (USA),USA,"USA (Alaska, Arctic)",Arctic Sea,1983,1977,1950,1950,508814.3292,283232.5633,83220.31071,0,0,341.62
Baker & Howland Isl. (USA),USA,Howland & Baker Isl. (USA),"Pacific, Eastern Central",1983,1977,1950,1950,81107.37081,138.311262,0,0.091365,0,79.72334156
Baker & Howland Isl. (USA),USA,Howland & Baker Isl. (USA),"Pacific, Western Central",1983,1977,1950,1950,353814.201,9.688738,0,0.002344,0.141,331.734189
Hawaii (USA),USA,Hawaii Main Islands (USA),"Pacific, Eastern Central",1983,1977,1950,1950,896001.83,6808.688489,6808.688489,0.124038,0.672,225.51
Hawaii (USA),USA,Hawaii Northwest Islands (USA),"Pacific, Eastern Central",1983,1977,1950,1950,1079113.516,11956.89077,4745.522574,0.124755,1.069,154.7771768
Hawaii (USA),USA,Hawaii Northwest Islands (USA),"Pacific, Northwest",1983,1977,1950,1950,499566.7419,1745.58042,1389.466863,0.073467,0.323,86.77893256
Johnston Isl. (USA),Johnston Atoll (USA),Johnston Atoll (USA),"Pacific, Eastern Central",1983,1977,1950,1950,442628.9795,223.2245109,223.2245117,0.061111,0.679,199.74
Jarvis Isl. (USA),USA,Jarvis Isl. (USA),"Pacific, Eastern Central",1983,1977,1950,1950,316555.0776,14.50258837,0,0.001491,0.161,408.34
Wake Isl. (USA),USA,Wake Isl. (USA),"Pacific, Western Central",1983,1977,1950,1950,248864.5855,241.5757968,31.44641047,0.008651,0.202,100.9666137
Wake Isl. (USA),USA,Wake Isl. (USA),"Pacific, Northwest",1983,1977,1950,1950,158373.0678,107.3664216,0,0,0.067,69.55403791
US Virgin Isl.,US Virgin Isl.,US Virgin Isl.,"Atlantic, Western Central",1983,1977,9999,1950,33747.91956,2098.121582,2098.121582,0.049096,0.007,360.5
USA,USA,USA (East Coast),"Atlantic, Western Central",1983,1977,1950,1950,438877.2602,120871.3383,73674.87824,0.303472,0,288.3583872
USA,USA,USA (East Coast),"Atlantic, Northwest",1983,1977,1950,1950,487189.9865,240514.8895,119684.8736,0,0.04,584.8748775
USA,USA,USA (Gulf of Mexico),"Atlantic, Western Central",1983,1977,1950,1950,695564.6614,335908.2825,160762.2,0.059114,0,712.6
USA,USA,USA (West Coast),"Pacific, Eastern Central",1983,1977,1950,1950,509395.1677,25864.55848,20801.40841,0,0.296,475.831849
USA,USA,USA (West Coast),"Pacific, Northeast",1983,1977,1950,1950,312284.1037,40643.86487,38137.31677,0,0.101,337.0184224
Puerto Rico (USA),Puerto Rico (USA),Puerto Rico (USA),"Atlantic, Western Central",1983,1977,9999,1970,177327.3146,5670.962839,5556.955521,0.128081,0.047,324.19
North Marianas (USA),North Marianas (USA),Northern Marianas (USA),"Pacific, Western Central",1983,1977,9999,1950,518588.7306,974.9678216,795.9339606,0.008737,0.914,125.1204684
North Marianas (USA),North Marianas (USA),Northern Marianas (USA),"Pacific, Northwest",1983,1977,9999,1950,230278.4457,28.67087411,28.67087411,0,0.329,61.71572946
Guam (USA),Guam (USA),Guam (USA),"Pacific, Western Central",1983,1977,9999,1950,221898.9378,394.6442421,215.7437088,0.036478,0.336,174.5
American Samoa (USA),American Samoa,American Samoa,"Pacific, Eastern Central",1983,1977,1950,1950,404367,551.8323808,489.9645461,0.070269,0.229,184.27
Uruguay,Uruguay,Uruguay,"Atlantic, Southwest",1969,1969,1956,1956,133014.3992,68560.56396,29819.73193,0,0,1510.17
Venezuela,Venezuela,Venezuela,"Atlantic, Western Central",1978,1978,1977,1977,474768.6936,107559.5717,105713.838,0.132878,0.101,795.66
Samoa,Samoa,Samoa,"Pacific, Eastern Central",1977,1977,1983,1983,131534.6844,2233.803553,2004.162676,0.138353,0.094,195.59
Montenegro,Montenegro,Montenegro,Mediterranean and Black Sea,1994,9999,9999,1950,7460.283787,3849.469934,3849.469934,0,0,509.45
St Martin,St Martin,St Martin (France),"Atlantic, Western Central",1978,1978,9999,9999,1065.940288,402.5778317,402.5778317,0.011275,0,334.71
Curacao,Curacao,Cura̤ao (Netherlands),"Atlantic, Western Central",1993,1977,2003,9999,30426.71519,251.3756648,251.3756648,0.028605,0.007,416.62
Andaman & Nicobar Isl. (India),India,Andaman & Nicobar Isl. (India),"Indian Ocean, Eastern",1977,1977,1974,1974,659590.0349,30403.22369,29107.31214,1.820086,0.087,456.61
India,India,India (mainland),"Indian Ocean, Eastern",1977,1977,1974,1974,622640.552,118696.6562,96359.38846,0.145912,0,374.0678678
India,India,India (mainland),"Indian Ocean, Western",1977,1977,1974,1974,1006966.886,274829.848,128669.2624,0.514189,0.168,573.7571766
Yemen,Yemen,Yemen (Red Sea),"Indian Ocean, Western",1978,1978,9999,1970,35860.76113,25923.14924,24906.97339,0.268619,0,1313.37
Yemen,Yemen,Yemen (Arabian Sea),"Indian Ocean, Western",1978,1978,9999,1970,509240.3293,28566.37966,28398.98389,0.001951,0.296,1078.71
Cyprus,North Cyprus,Cyprus (North),Mediterranean and Black Sea,2003,2003,9999,9999,17676.26405,1464.217862,1375.810029,0,0,346.18
Cyprus,South Cyprus,Cyprus (South),Mediterranean and Black Sea,2003,2003,9999,9999,80411.60753,1730.646413,1730.646413,0,0.007,316.22